#Exit Angle (deg)	Exit Angle (deg) Ori	Exit Angle (rad)	n(o)	Error n(o) (3S)	cumul n(o)	Error cumul n(o) (3S)	n(o) theoritical	cumul n(o) theoritical	n(o)*sin(o)*do
54.2714	54.2714	0.947214	0.0246983	0.0523407	0.128	0.0316945	0.17752	0	0.000316526
55.1759	55.1759	0.963001	0	0	0.128	0.0316945	0.173602	0	0
56.0804	56.0804	0.978788	0.0241706	0.0512223	0.13	0.0319045	0.169641	0	0.000316642
56.9849	56.9849	0.994575	0.0358859	0.0620629	0.133	0.0322149	0.165637	0	0.000475048
57.8894	57.8894	1.01036	0	0	0.133	0.0322149	0.161593	0	0
58.794	58.794	1.02615	0.0117313	0.0351763	0.134	0.0323171	0.157508	0	0.000158404
59.6985	59.6985	1.04194	0.0116236	0.0348533	0.135	0.0324187	0.153383	0	0.000158431
60.603	60.603	1.05772	0	0	0.135	0.0324187	0.149221	0	0
61.5075	61.5075	1.07351	0.0114223	0.0342499	0.136	0.0325198	0.145021	0	0.000158483
62.4121	62.4121	1.0893	0.022657	0.0480147	0.138	0.0327201	0.140785	0	0.000317016
63.3166	63.3166	1.10508	0.011239	0.0337001	0.139	0.0328194	0.136514	0	0.000158533
64.2211	64.2211	1.12087	0	0	0.139	0.0328194	0.132209	0	0
65.1256	65.1256	1.13666	0	0	0.139	0.0328194	0.127872	0	0
66.0302	66.0302	1.15244	0	0	0.139	0.0328194	0.123502	0	0
66.9347	66.9347	1.16823	0.0218423	0.0462882	0.141	0.0330162	0.119101	0	0.000317257
67.8392	67.8392	1.18402	0	0	0.141	0.0330162	0.114671	0	0
68.7437	68.7437	1.1998	0.0107847	0.032338	0.142	0.0331138	0.110212	0	0.000158674
69.6482	69.6482	1.21559	0.0107217	0.0321492	0.143	0.0332108	0.105726	0	0.000158697
70.5528	70.5528	1.23138	0	0	0.143	0.0332108	0.101213	0	0
71.4573	71.4573	1.24716	0	0	0.143	0.0332108	0.0966755	0	0
72.3618	72.3618	1.26295	0	0	0.143	0.0332108	0.0921136	0	0
73.2663	73.2663	1.27874	0.0105028	0.0314925	0.144	0.0333073	0.0875287	0	0.000158785
74.1709	74.1709	1.29453	0	0	0.144	0.0333073	0.082922	0	0
75.0754	75.0754	1.31031	0.0208239	0.04413	0.146	0.0334986	0.0782946	0	0.000317655
75.9799	75.9799	1.3261	0.010371	0.0310974	0.147	0.0335934	0.0736477	0	0.000158848
76.8844	76.8844	1.34189	0	0	0.147	0.0335934	0.0689825	0	0
77.7889	77.7889	1.35767	0.0205953	0.0436456	0.149	0.0337815	0.0643001	0	0.00031778
78.6935	78.6935	1.37346	0	0	0.149	0.0337815	0.0596016	0	0
79.598	79.598	1.38925	0	0	0.149	0.0337815	0.0548883	0	0
80.5025	80.5025	1.40503	0.020417	0.0432677	0.151	0.0339675	0.0501613	0	0.000317903
81.407	81.407	1.42082	0.0101842	0.0305373	0.152	0.0340597	0.0454218	0	0.000158972
82.3116	82.3116	1.43661	0	0	0.152	0.0340597	0.040671	0	0
83.2161	83.2161	1.45239	0	0	0.152	0.0340597	0.0359101	0	0
84.1206	84.1206	1.46818	0	0	0.152	0.0340597	0.0311402	0	0
85.0251	85.0251	1.48397	0	0	0.152	0.0340597	0.0263625	0	0
85.9296	85.9296	1.49976	0	0	0.152	0.0340597	0.0215783	0	0
86.8342	86.8342	1.51554	0	0	0.152	0.0340597	0.0167887	0	0
87.7387	87.7387	1.53133	0	0	0.152	0.0340597	0.0119949	0	0
88.6432	88.6432	1.54712	0	0	0.152	0.0340597	0.00719815	0	0
89.5477	89.5477	1.5629	0	0	0.152	0.0340597	0.00239958	0	0

