"z","dest","src","probability","transition energy (in eV)"
23,3,5,"2.53310E-03","4.53480E+02"
23,3,7,"3.47480E-06","4.86400E+02"
23,3,8,"3.00970E-04","5.19200E+02"
23,3,10,"4.68090E-05","5.25250E+02"
23,4,5,"2.39979E-03","4.46460E+02"
23,4,6,"1.65889E-06","4.72600E+02"
23,4,7,"1.62499E-06","4.78200E+02"
23,4,8,"2.28229E-05","5.11270E+02"
23,4,9,"2.64839E-04","5.11270E+02"
23,4,10,"4.43688E-05","5.17910E+02"
23,5,30,"5.55839E-06","2.63637E+01"
23,6,30,"2.67808E-07","4.12818E+01"
23,7,30,"2.24972E-07","4.03650E+01"
24,1,3,"8.25759E-02","5.40554E+03"
24,1,4,"1.62090E-01","5.41480E+03"
24,1,6,"9.49389E-03","5.94682E+03"
24,1,7,"1.87010E-02","5.94682E+03"
24,1,8,"2.52540E-06","5.98697E+03"
24,1,9,"3.69550E-06","5.98697E+03"
24,2,3,"4.18737E-05","9.76000E+01"
24,2,4,"1.48369E-04","1.06530E+02"
24,2,6,"4.33407E-04","6.53900E+02"
24,2,7,"6.32756E-04","6.53900E+02"
24,2,8,"9.01435E-07","6.93470E+02"
24,2,9,"1.28349E-06","6.97480E+02"
24,3,5,"3.06272E-03","5.10220E+02"
24,3,7,"5.01634E-06","5.43000E+02"
24,3,8,"5.24554E-04","5.82900E+02"
24,3,10,"5.75784E-05","5.83780E+02"
24,4,5,"2.89130E-03","5.00330E+02"
24,4,6,"2.43310E-06","5.26900E+02"
24,4,7,"2.37970E-06","5.33200E+02"
24,4,8,"4.10181E-05","5.72900E+02"
24,4,9,"4.70291E-04","5.72900E+02"
24,4,10,"5.43441E-05","5.74850E+02"
24,5,30,"7.96236E-06","2.86676E+01"
24,6,30,"8.45349E-07","4.48256E+01"
24,7,30,"7.14377E-07","4.38327E+01"
25,1,3,"9.17726E-02","5.88769E+03"
25,1,4,"1.79949E-01","5.89880E+03"
25,1,6,"1.09360E-02","6.49059E+03"
25,1,7,"2.15229E-02","6.49059E+03"
