rho z, Au Ma, Au La
0.352855294942856, 1.04068839550018, 0.0433157086372375
0.36052605509758, 0.993036568164825, 0.0385594740509987
0.368196815252304, 0.947270750999451, 0.033380426466465
0.375867575407028, 0.882408678531647, 0.0310345869511366
0.383538365364075, 0.85992705821991, 0.0294273532927036
0.391209125518799, 0.823503077030182, 0.0250620860606432
0.398879885673523, 0.786951959133148, 0.0229179169982672
0.406550645828247, 0.756443619728088, 0.0188238061964512
0.414221435785294, 0.715637445449829, 0.0166029091924429
0.421892195940018, 0.659657716751099, 0.0138986026868224
0.429562956094742, 0.64533942937851, 0.0128971356898546
0.437233716249466, 0.599154531955719, 0.0110325329005718
0.444904506206512, 0.563965797424316, 0.00915284175425768
0.452575266361237, 0.521578729152679, 0.00798847712576389
0.460246026515961, 0.504142761230469, 0.00690944725647569
0.467916786670685, 0.485348850488663, 0.00635113241150975
0.475587576627731, 0.459354728460312, 0.00488486746326089
0.483258336782455, 0.436513215303421, 0.00437492737546563
0.49092909693718, 0.415742605924606, 0.00369586003944278
0.498599857091904, 0.395541578531265, 0.003080939874053
0.50627064704895, 0.367782592773438, 0.00265580322593451
0.513941407203674, 0.336691975593567, 0.0027223255019635
0.521612167358398, 0.322218835353851, 0.00208965199999511
0.529282927513123, 0.309134781360626, 0.00210375757887959
0.536953687667847, 0.275100618600845, 0.00112824782263488
0.544624447822571, 0.261118650436401, 0.00108547159470618
0.552295207977295, 0.226808294653893, 0.000808790151495486
0.559966027736664, 0.214602932333946, 0.000564247893635184
0.567636787891388, 0.203534111380577, 0.000417631177697331
0.575307548046112, 0.184605732560158, 0.0003425064496696
0.582978308200836, 0.184627935290337, 0.000328983005601913
0.59064906835556, 0.160999804735184, 0.000210242404136807
0.598319828510284, 0.146945059299469, 0.000201543036382645
0.605990588665009, 0.120111972093582, 0.000117694151413161
0.613661348819733, 0.11687657982111, 7.54122229409404E-5
0.621332108974457, 0.103660382330418, 3.89614870073274E-5
0.629002928733826, 0.100553520023823, 3.66026361007243E-5
0.63667368888855, 0.0986240431666374, 2.12796658161096E-5
0.644344449043274, 0.0930988416075706, 2.56715020441334E-6
0.652015209197998, 0.0933038890361786, 5.42744055564981E-5
0.659685969352722, 0.0798397958278656, 3.76382558897603E-5
0.667356729507446, 0.0708952024579048, 1.25160968309501E-5
0.67502748966217, 0.0638305619359016, 1.23355121104396E-5
0.682698249816895, 0.0578447207808495, 0
0.690369069576263, 0.0503238551318645, 0
0.698039829730988, 0.0480477437376976, 0
0.705710589885712, 0.0397433452308178, 0
0.713381350040436, 0.0374740213155746, 0
0.72105211019516, 0.0353430770337582, 0
0.728722870349884, 0.0338082164525986, 0
0.736393630504608, 0.0296796578913927, 0
0.744064390659332, 0.0274043865501881, 0
0.751735150814056, 0.0206786002963781, 0
0.759405970573425, 0.0202654153108597, 0
0.767076730728149, 0.0173330772668123, 0
0.774747490882874, 0.0163838677108288, 0
0.782418251037598, 0.012517923489213, 0
0.790089011192322, 0.0128606520593166, 0
0.797759771347046, 0.0114517882466316, 0
0.80543053150177, 0.0101403994485736, 0
0.813101291656494, 0.00865014363080263, 0
0.820772111415863, 0.00688970694318414, 0
0.828442871570587, 0.00574780255556107, 0
0.836113631725311, 0.00546011980623007, 0
0.843784391880035, 0.00883847661316395, 0
0.85145515203476, 0.00883695855736732, 0
0.859125912189484, 0.00533908419311047, 0
0.866796672344208, 0.00420414051041007, 0
0.874467432498932, 0.00531652756035328, 0
0.882138192653656, 0.00468767713755369, 0
0.889809012413025, 0.00321889226324856, 0
0.897479772567749, 0.00374703900888562, 0
0.905150532722473, 0.0036360640078783, 0
0.912821292877197, 0.00277087674476206, 0
0.920492053031921, 0.0044012269936502, 0
0.928162813186646, 0.00363132334314287, 0
0.93583357334137, 0.00242073740810156, 0
0.943504333496094, 0.00151938037015498, 0
0.951175153255463, 0.00193526479415596, 0
0.958845913410187, 0.00234131468459964, 0
0.966516673564911, 0.00158549600746483, 0
0.974187433719635, 0.000476621207781136, 0
